title,author,length
Energize Your Mind,Gaur Gopal Das,Length: 10 hrs and 20 mins
Doglapan,Ashneer Grover,Length: 6 hrs and 30 mins
Anatomy of a Breakthrough,Adam Alter,Length: 8 hrs and 51 mins
The Hidden Hindu,Akshat Gupta,Length: 5 hrs and 36 mins
Happy Place,Emily Henry,Length: 11 hrs and 3 mins
Outlive,"Peter Attia,Bill Gifford",Length: 17 hrs and 8 mins
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 37 mins
The Light We Carry,Michelle Obama,Length: 9 hrs and 59 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 47 mins
Revolutionaries,Sanjeev Sanyal,Length: 11 hrs and 22 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
"India Since Independence, Part 1","Bipin Chandra,Mridula Mukherjee,Aditya Mukherjee",Length: 18 hrs and 13 mins
Terms and Conditions,Lauren Asher,Length: 13 hrs and 12 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 44 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Length: 4 hrs and 46 mins
The Immortals of Meluha,Amish Tripathi,Length: 11 hrs and 39 mins
8 Rules of Love,Jay Shetty,Length: 10 hrs and 10 mins
Mahabharat,Sadhguru,Length: 20 hrs and 42 mins
Ashtavakra Mahagitaa Vol. 1,OSHO,Length: 16 hrs and 7 mins
The Golden Years,Ruskin Bond,Length: 3 hrs and 6 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Make Your Bed,Admiral William H. McRaven,Length: 1 hr and 43 mins
Don't Believe Everything You Think,Joseph Nguyen,Length: 2 hrs and 16 mins
The Art of Seduction,Robert Greene,Length: 5 hrs and 9 mins
The Steal Like an Artist Audio Trilogy,Austin Kleon,Length: 4 hrs and 32 mins
Lessons in Chemistry,Bonnie Garmus,Length: 11 hrs and 56 mins
Surrounded by Idiots,Thomas Erikson,Length: 10 hrs and 29 mins
The Pathless Path,Paul Millerd,Length: 6 hrs and 6 mins
The Primal Hunter 5,Zogarth,Length: 17 hrs and 47 mins
Moonwalking with Einstein,Joshua Foer,Length: 9 hrs and 31 mins
How to Be an Adult in Relationships,David Richo,Length: 9 hrs and 20 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 16 mins
Before the Coffee Gets Cold,"Toshikazu Kawaguchi,Geoffrey Trousselot - translator",Length: 6 hrs and 52 mins
Guards! Guards!,"Terry Pratchett,Ben Aaronovitch - afterword",Length: 13 hrs and 29 mins
A Brief History of Time,Stephen Hawking,Length: 6 hrs and 57 mins
1984,George Orwell,Length: 12 hrs and 19 mins
Becoming,Michelle Obama,Length: 19 hrs and 3 mins
When the Heavens Went on Sale,Ashlee Vance,Length: 18 hrs and 19 mins
The Good Enough Job,Simone Stolzoff,Length: 5 hrs and 33 mins
I Will Teach You to Be Rich,Ramit Sethi,Length: 12 hrs and 8 mins
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
Legend of Suheldev,Amish Tripathi,Length: 11 hrs and 6 mins
Meditations,"Marcus Aurelius,Diskin Clay,Martin Hammond",Length: 6 hrs and 18 mins
Atlas Shrugged,Ayn Rand,Length: 62 hrs and 56 mins
The Ultimate Jim Rohn Library,Jim Rohn,Length: 11 hrs and 23 mins
Why I Am a Hindu,Shashi Tharoor,Length: 13 hrs and 2 mins
Behave,Robert M. Sapolsky,Length: 26 hrs and 27 mins
When Breath Becomes Air,Paul Kalanithi,Length: 5 hrs and 35 mins
The Design of Everyday Things,Don Norman,Length: 10 hrs and 39 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Art of Clear Thinking,Hasard Lee,Length: 6 hrs and 37 mins
Daring Greatly,Brené Brown,Length: 6 hrs and 30 mins
The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 31 mins
Disruptive Thinking,T. D. Jakes,Length: 8 hrs and 42 mins
How to Change Careers,"Octavia Goredema,The Great Courses",Length: 2 hrs and 13 mins
The Daily Stoic,"Ryan Holiday,Stephen Hanselman",Length: 10 hrs and 6 mins
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Length: 15 hrs and 56 mins
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People],Stephen R. Covey,Length: 16 hrs and 4 mins
The Anarchy,William Dalrymple,Length: 15 hrs and 43 mins
Storyworthy,"Matthew Dicks,Dan Kennedy - foreword",Length: 10 hrs and 1 min
The Way of the Superior Man,David Deida,Length: 5 hrs and 22 mins
The Girl on the Train,Paula Hawkins,Length: 11 hrs and 4 mins
Secrets of the Millionaire Mind,T. Harv Eker,Length: 5 hrs and 10 mins
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,Length: 8 hrs and 52 mins
The God Delusion,Richard Dawkins,Length: 13 hrs and 52 mins
Range,David Epstein,Length: 10 hrs and 17 mins
The Meditations of Marcus Aurelius,Marcus Aurelius,Length: 5 hrs
Quiet,Susan Cain,Length: 10 hrs and 39 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
The Slight Edge,Jeff Olson,Length: 9 hrs and 47 mins
Atlas: The Story of Pa Salt,"Lucinda Riley,Harry Whittaker",Length: 24 hrs and 59 mins
Maybe You Should Talk to Someone,Lori Gottlieb,Length: 14 hrs and 22 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 24 mins
How to Win Friends and Influence People,Dale Carnegie,Length: 8 hrs and 5 mins
The 80/20 Principle,Richard Koch,Length: 6 hrs and 47 mins
Getting Things Done With Work-Life Balance,David Allen,Length: 6 hrs and 34 mins
You Can Heal Your Life,Louise L. Hay,Length: 3 hrs
Algorithms to Live By,"Brian Christian,Tom Griffiths",Length: 11 hrs and 50 mins
Inspired,Marty Cagan,Length: 7 hrs and 45 mins
Models,Mark Manson,Length: 7 hrs and 52 mins
What Every BODY Is Saying,"Joe Navarro,Marvin Karlins",Length: 7 hrs and 19 mins
Dr. Cuterus,Tanaya Narendra,Length: 7 hrs and 13 mins
The Hard Thing About Hard Things,Ben Horowitz,Length: 7 hrs and 57 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 59 mins
Trading in the Zone,Mark Douglas,Length: 7 hrs and 57 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
Hooked: How to Build Habit-Forming Products,"Nir Eyal,Ryan Hoover",Length: 4 hrs and 40 mins
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta],Amish Tripathi,Length: 12 hrs and 33 mins
Who Moved My Cheese?,Dr Spencer Johnson,Length: 1 hr and 39 mins
The Education of a Value Investor,Guy Spier,Length: 6 hrs and 28 mins
The Warren Buffett Way,Robert Hagstrom,Length: 10 hrs and 31 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
Sita: Warrior of Mithila,Amish,Length: 11 hrs and 10 mins
The Song of Significance,Seth Godin,Length: 4 hrs and 21 mins
As a Man Thinketh,James Allen,Length: 55 mins
Grit,Angela Duckworth,Length: 9 hrs and 21 mins
21 Lessons for the 21st Century,Yuval Noah Harari,Length: 11 hrs and 41 mins
The Personal MBA: Master the Art of Business,Josh Kaufman,Length: 15 hrs and 25 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 43 mins
The Secret of the Nagas,Amish Tripathi,Length: 10 hrs and 9 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Power of Habit,Charles Duhigg,Length: 10 hrs and 53 mins
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins
The Greatness Mindset,Lewis Howes,Length: 9 hrs and 7 mins
Surviving to Drive,Guenther Steiner,Length: 7 hrs and 40 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Scion of Ikshvaku,Amish,Length: 11 hrs and 35 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
Whirlwinds,"Kalki Krishnamurthy,Pavithra Srinivasan - translator",Length: 15 hrs and 13 mins
Waybound,Will Wight,Length: 16 hrs and 13 mins
Sherlock Holmes: The Definitive Collection,"Stephen Fry - introductions,Arthur Conan Doyle",Length: 71 hrs and 57 mins
Overcoming Social Anxiety,"Ellen Hendriksen,The Great Courses",Length: 2 hrs and 35 mins
The Girl with the Dragon Tattoo,Stieg Larsson,Length: 18 hrs and 48 mins
The Little Book of Common Sense Investing,John C. Bogle,Length: 5 hrs and 50 mins
Diana,Andrew Morton,Length: 13 hrs and 45 mins
Mythos,Stephen Fry,Length: 15 hrs and 25 mins
Zen: The Art of Simple Living,"Shunmyo Masuno,Harry Goldhawk,Zanna Goldhawk",Length: 2 hrs and 37 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
The Man Who Saved India,Hindol Sengupta,Length: 13 hrs and 37 mins
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,Length: 70 hrs and 48 mins
Origin,Dan Brown,Length: 18 hrs and 10 mins
Apprenticed to a Himalayan Master,Sri M.,Length: 10 hrs and 15 mins
The Fine Print,Lauren Asher,Length: 11 hrs and 8 mins
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Length: 3 hrs and 41 mins
The Myth of Normal,"Gabor Maté,Daniel Maté",Length: 18 hrs and 12 mins
Hacking Growth,"Morgan Brown,Sean Ellis",Length: 10 hrs and 43 mins
Beartown,Fredrik Backman,Length: 13 hrs and 43 mins
The Pilani Pioneers,"Gaurav Mandlecha,Durjai Sethi",Length: 6 hrs and 59 mins
Effortless,Greg McKeown,Length: 6 hrs and 2 mins
Emotional Intelligence,Daniel Goleman,Length: 2 hrs and 59 mins
The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
The Sandman: Act III,"Neil Gaiman,Dirk Maggs",Length: 11 hrs and 31 mins
Tomb of Sand,"Geetanjali Shree,Daisy Rockwell",Length: 19 hrs and 24 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
You Are the Placebo,Dr. Joe Dispenza,Length: 12 hrs and 6 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Mindset,Carol Dweck,Length: 8 hrs and 34 mins
Hacking Health,Mukesh Bansal,Length: 13 hrs and 23 mins
Predictably Irrational,Dan Ariely,Length: 7 hrs and 24 mins
Unreasonable Hospitality,Will Guidara,Length: 8 hrs and 37 mins
Peppa Pig: Peppa and the Great Outdoors,Ladybird,Length: 1 hr and 2 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Allen Carr's Easy Way to Quit Smoking,Allen Carr,Length: 8 hrs and 24 mins
Autobiography of a Yogi - Original Edition,Paramahansa Yogananda,Length: 17 hrs and 20 mins
The Oath of the Vayuputras (English),Amish Tripathi,Length: 17 hrs and 12 mins
Build,Tony Fadell,Length: 11 hrs and 4 mins
Never Eat Alone,"Keith Ferrazzi,Tahl Raz",Length: 13 hrs and 47 mins
Unsouled,Will Wight,Length: 8 hrs and 52 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 47 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
The Secret Advantage,Earl Nightingale,Length: 19 hrs and 35 mins
Norwegian Wood,Haruki Murakami,Length: 12 hrs and 28 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
Manifest,Roxie Nafousi,Length: 3 hrs and 59 mins
The Selfish Gene,Richard Dawkins,Length: 16 hrs and 12 mins
The Lord of the Rings: The Fellowship of the Ring (Dramatised),J. R. R. Tolkien,Length: 4 hrs and 35 mins
The Infinite Game,Simon Sinek,Length: 6 hrs and 56 mins
Asura,Anand Neelakantan,Length: 18 hrs and 17 mins
Radical Candor,Kim Scott,Length: 9 hrs and 23 mins
Designing Your Life,"Bill Burnett,Dave Evans",Length: 6 hrs and 18 mins
This Is Marketing,Seth Godin,Length: 7 hrs and 2 mins
Super Thinking,"Gabriel Weinberg,Lauren McCann",Length: 12 hrs and 37 mins
Legend of the Arch Magus: Publisher's Pack 5,Michael Sisa,Length: 12 hrs and 44 mins
Sapiens,Yuval Noah Harari,Length: 21 hrs and 42 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
The Beginning of Infinity,David Deutsch,Length: 20 hrs
Ego Is the Enemy,Ryan Holiday,Length: 6 hrs and 56 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,Length: 8 hrs and 43 mins
$100M Offers,Alex Hormozi,Length: 3 hrs and 48 mins
Indistractable,"Nir Eyal,Julie Li",Length: 5 hrs and 15 mins
The Phoenix Project,"Gene Kim,Kevin Behr,George Spafford",Length: 14 hrs and 46 mins
Living with a SEAL,Jesse Itzler,Length: 5 hrs and 18 mins
How to Day Trade for a Living,Andrew Aziz,Length: 6 hrs and 56 mins
Truth Actuality and the Limits of Thought,Jiddu Krishnamurti,Length: 19 hrs and 57 mins
1962: The War That Wasn't,Shiv Kunal Verma,Length: 19 hrs and 20 mins
Punarbhava,Ashutosh Jain,Length: 9 hrs and 8 mins
The Tatas,"Girish Kuber,Vikrant Pande - translator",Length: 9 hrs and 41 mins
No Rules Rules,"Reed Hastings,Erin Meyer",Length: 9 hrs and 42 mins
The Great Mental Models,Shane Parrish,Length: 3 hrs and 23 mins
What Got You Here Won't Get You There,"Marshall Goldsmith,Mark Reiter",Length: 7 hrs and 56 mins
The Art of Reading Minds,Henrik Fexeus,Length: 7 hrs and 21 mins
Skin in the Game,Nassim Nicholas Taleb,Length: 8 hrs and 20 mins
War of Lanka,Amish Tripathi,Length: 16 hrs and 20 mins
The Accidental Prime Minister,Sanjaya Baru,Length: 13 hrs
The Yoga Sūtras of Patañjali,Edwin F. Bryant,Length: 30 hrs and 6 mins
The Da Vinci Code,Dan Brown,Length: 16 hrs and 39 mins
Linchpin,Seth Godin,Length: 8 hrs and 19 mins
Success Through a Positive Mental Attitude,"Napoloen Hill,W. Clement Stone",Length: 5 hrs and 6 mins
Being Different,Rajiv Malhotra,Length: 17 hrs and 31 mins
The Miracle Morning,Hal Elrod,Length: 4 hrs and 57 mins
Sahaj Yog,OSHO,Length: 37 hrs and 10 mins
Raavan,Amish Tripathi,Length: 11 hrs and 32 mins
Romantic Comedy,Curtis Sittenfeld,Length: 9 hrs and 5 mins
Psychology of Human Behavior,"David W. Martin,The Great Courses",Length: 18 hrs and 30 mins
Fantastic Beasts and Where to Find Them,"J.K. Rowling,Newt Scamander",Length: 1 hr and 54 mins
Karma: A Yogi’s Guide to Crafting Your Own Destiny,"Sadhguru,Leslie Howard",Length: 8 hrs and 56 mins
Hunting Adeline,H. D. Carlton,Length: 17 hrs and 24 mins
Closer to Love,Vex King,Length: 9 hrs and 41 mins
Muhammad,Martin Lings,Length: 6 hrs and 3 mins
33 Strategies of War,Robert Greene,Length: 27 hrs and 30 mins
The Pillars of the Earth,Ken Follett,Length: 40 hrs and 56 mins
Shrimad Bhagwad Gita (Hindi Edition),R. R. Varma,Length: 25 hrs and 56 mins
Designing Data-Intensive Applications,Martin Kleppmann,Length: 20 hrs and 56 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Four Thousand Weeks,Oliver Burkeman,Length: 5 hrs and 53 mins
Kafka on the Shore,Haruki Murakami,Length: 19 hrs and 8 mins
Grandparents' Bag of Stories,Sudha Murty,Length: 5 hrs and 5 mins
Energize Your Mind,Gaur Gopal Das,Length: 10 hrs and 20 mins
Killing Moon,"Jo Nesbo,Seán Kinsella",Length: 16 hrs and 8 mins
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,Length: 14 hrs and 45 mins
Measure What Matters,John Doerr,Length: 7 hrs and 56 mins
The Monk Who Sold His Ferrari,Robin Sharma,Length: 2 hrs and 40 mins
How to Think Like a Roman Emperor,Donald J. Robertson,Length: 8 hrs and 30 mins
Leaders Eat Last,Simon Sinek,Length: 9 hrs and 22 mins
The Molecule of More,"Daniel Z. Lieberman MD,Michael E. Long",Length: 8 hrs and 13 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
Digital Minimalism,Cal Newport,Length: 7 hrs
The Forty Rules of Love,Elif Shafak,Length: 11 hrs and 55 mins
The Ride of a Lifetime,Robert Iger,Length: 8 hrs and 45 mins
Getting to Yes,"Roger Fisher,William Ury,Bruce Patton",Length: 6 hrs and 16 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
Letting Go,David R. Hawkins MD,Length: 12 hrs and 23 mins
One Hundred Years of Solitude,"Gabriel García Márquez,Gregory Rabassa - translator",Length: 14 hrs and 4 mins
The Fountainhead,Ayn Rand,Length: 32 hrs and 5 mins
The Top Five Regrets of the Dying,Bronnie Ware,Length: 9 hrs and 13 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
The Whistling Schoolboy and Other Stories of School Life,Ruskin Bond,Length: 2 hrs and 52 mins
Originals,"Adam Grant,Sheryl Sandberg - foreword",Length: 10 hrs and 1 min
Scaling People,Claire Hughes Johnson,Length: 11 hrs and 32 mins
Master Your Focus,Thibaut Meurisse,Length: 3 hrs and 58 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
Influence,Robert B. Cialdini,Length: 12 hrs and 25 mins
Anxious People,Fredrik Backman,Length: 9 hrs and 52 mins
The Sandman,"Neil Gaiman,Dirk Maggs",Length: 11 hrs and 2 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
2001,Arthur C. Clarke,Length: 6 hrs and 42 mins
Nagaon ka Rahassya [The Mystery of the Dragon],Amish Tripathi,Length: 11 hrs and 47 mins
Shiv Ke Saat Rahasya [Seven Secrets of Shiva],Devdutt Pattanaik,Length: 4 hrs and 18 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
The Courage to Be Disliked ,"Fumitake Koga,Ichiro Kishimi",Length: 6 hrs and 50 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
12 Rules for Life,Jordan B. Peterson,Length: 15 hrs and 56 mins
The Interpretation of Dreams,Sigmund Freud,Length: 25 hrs and 49 mins
Ikigai,"Héctor García,Francesc Miralles",Length: 3 hrs and 23 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs
The Secret of Secrets,Osho,Length: 53 hrs and 32 mins
Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins
Norse Mythology,Neil Gaiman,Length: 6 hrs and 29 mins
Hyperfocus,Chris Bailey,Length: 6 hrs and 39 mins
The Greatest Secret,Rhonda Byrne,Length: 6 hrs and 20 mins
"Men Are from Mars, Women Are from Venus",John Gray,Length: 9 hrs and 28 mins
Think Again,Adam Grant,Length: 6 hrs and 41 mins
The Power of Your Subconscious Mind,Joseph Murphy,Length: 7 hrs and 13 mins
The Happiness Advantage,Shawn Achor,Length: 7 hrs and 20 mins
P.G. Wodehouse Volume 1,P.G. Wodehouse,Length: 40 hrs and 37 mins
Fanatical Prospecting,Jeb Blount,Length: 8 hrs and 21 mins
