title,author,length
Elon Musk,Ashlee Vance,Length: 13 hrs and 23 mins
Emergency Chronicles,Gyan Prakash,Length: 12 hrs and 48 mins
And the Mountains Echoed,Khaled Hosseini,Length: 14 hrs and 1 min
The Sandman: Act II,"Neil Gaiman,Dirk Maggs",Length: 13 hrs and 47 mins
The 22 Immutable Laws of Branding,"Al Ries,Laura Ries",Length: 8 hrs and 8 mins
The Word Is Murder,Anthony Horowitz,Length: 9 hrs and 2 mins
How to Trade in Stocks,Jesse Livermore,Length: 1 hr and 43 mins
The Most Important Thing,Howard Marks,Length: 7 hrs and 9 mins
Rework,"Jason Fried,David Heinemeier Hansson",Length: 2 hrs and 50 mins
Eat to Beat Disease,William W Li,Length: 13 hrs and 56 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
The Psychology of Selling,Brian Tracy,Length: 5 hrs and 19 mins
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,Length: 11 hrs and 10 mins
Ashoka the Great,"Wytze Keuning,J. E. Steur - translator",Length: 43 hrs and 39 mins
Napoleon the Great,Andrew Roberts,Length: 37 hrs and 23 mins
The White Tiger,Aravind Adiga,Length: 8 hrs and 10 mins
Your Soul's Plan,Robert Schwartz,Length: 11 hrs and 15 mins
Who Will Cry When You Die?,Robin Sharma,Length: 3 hrs and 42 mins
Killing Floor,Lee Child,Length: 15 hrs and 51 mins
The Paradox of Choice,Barry Schwartz,Length: 7 hrs and 2 mins
The Tools,"Phil Stutz,Barry Michels",Length: 7 hrs and 7 mins
How Not to Die,"Michael Greger MD,Gene Stone",Length: 17 hrs and 9 mins
Execution,"Larry Bossidy,Ram Charan",Length: 8 hrs and 14 mins
Rich Dad's Guide to Investing,Robert T. Kiyosaki,Length: 14 hrs and 27 mins
Autobiography of a Yogi,Paramahansa Yogananda,Length: 17 hrs and 50 mins
The Lord of the Rings: The Two Towers (Dramatised),J. R. R. Tolkien,Length: 4 hrs and 29 mins
The Power of Your Subconscious Mind (Tamil Edition),Dr Joseph Murphy,Length: 11 hrs and 16 mins
Think and Grow Rich,Napoleon Hill,Length: 10 hrs and 15 mins
Pageboy,Elliot Page,Length: 8 hrs and 23 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
A Book of Simple Living,Ruskin Bond,Length: 2 hrs and 19 mins
The Lion: Son of the Forest,Mike Brooks,Length: 12 hrs and 15 mins
Power Failure,William D. Cohan,Length: 28 hrs and 17 mins
Talk Like TED,Carmine Gallo,Length: 7 hrs and 42 mins
NLP,"Charles Faulkner,Gerry Schmidt,Kelly Gerling,Robert McDonald,Suzi Smith,Tim Hallbon",Length: 6 hrs and 4 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
Caste Matters,Suraj Yengde,Length: 11 hrs and 12 mins
The Story of World War II,"Donald L. Miller,Henry Steele Commager",Length: 24 hrs and 52 mins
Dawood's Mentor,S. Hussain Zaidi,Length: 7 hrs and 32 mins
Make Time,"Jake Knapp,John Zeratsky",Length: 4 hrs and 58 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Poirot's Finest Cases,Agatha Christie,Length: 15 hrs and 37 mins
The $100 Startup,Chris Guillebeau,Length: 8 hrs and 14 mins
Will You Still Love Me?,Ravinder Singh,Length: 7 hrs and 16 mins
Scary Smart,Mo Gawdat,Length: 11 hrs and 20 mins
Indian Summer,Alex von Tunzelmann,Length: 14 hrs and 36 mins
Salt,Mark Kurlansky,Length: 13 hrs and 48 mins
The Ocean of Churn,Sanjeev Sanyal,Length: 9 hrs and 22 mins
The Book on Rental Property Investing,Brandon Turner,Length: 11 hrs and 38 mins
Only Love Is Real,Brian L. Weiss M.D.,Length: 3 hrs and 8 mins
Everyday Ayurveda,Bhaswati Bhattacharya,Length: 10 hrs and 19 mins
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,Length: 1 hr and 17 mins
The Complete Conversations with God,Neale Donald Walsch,Length: 26 hrs and 33 mins
"Don’t Lose Your Mind, Lose Your Weight",Rujuta Diwekar,Length: 8 hrs and 25 mins
I Can't Make This Up,"Neil Strauss - contributor,Kevin Hart",Length: 11 hrs and 15 mins
The Monk Who Sold His Ferrari,Robin Sharma,Length: 6 hrs and 34 mins
The Tao of Pooh,Benjamin Hoff,Length: 2 hrs and 46 mins
No Longer Human,Osamu Dazai,Length: 4 hrs and 13 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
Tools of Titans,Tim Ferriss,Length: 22 hrs and 41 mins
"Savarkar: Echoes of a Forgotton Past, Vol. 1: Part 1",Vikram Sampath,Length: 12 hrs and 46 mins
God of Wrath,Rina Kent,Length: 14 hrs and 5 mins
This Is Going to Hurt,Adam Kay,Length: 5 hrs and 47 mins
The Mind Illuminated,"Culadasa,Jeremy Graves,Matthew Immergut PhD,John Yates PhD",Length: 13 hrs and 33 mins
India's Most Fearless 2: More Military Stories of Unimaginable Courage and Sacrifice,"Shiv Aroor,Rahul Singh",Length: 10 hrs and 7 mins
Simply Lies,David Baldacci,Length: 11 hrs and 44 mins
Inglorious Empire,Shashi Tharoor,Length: 10 hrs and 33 mins
Peak,"Robert Pool,Anders Ericsson",Length: 10 hrs and 40 mins
Permanent Record,Edward Snowden,Length: 11 hrs and 31 mins
The Complete Fiction of H.P. Lovecraft,H. P. Lovecraft,Length: 51 hrs and 40 mins
Stealing Fire,"Steven Kotler,Jamie Wheal",Length: 8 hrs and 24 mins
For the Love of Physics,"Walter Lewin,Warren Goldstein",Length: 10 hrs and 11 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 29 hrs and 1 min
You Shouldn’t Have Come Here,Jeneva Rose,Length: 8 hrs and 1 min
Sprint,"Jake Knapp,John Zeratsky,Braden Kowitz",Length: 6 hrs and 9 mins
Aurangzeb: The Man and the Myth,Audrey Trushcke,Length: 3 hrs and 50 mins
Essence of the Upanishads,Eknath Easwaran,Length: 8 hrs and 41 mins
Homo Deus,Yuval Noah Harari,Length: 14 hrs and 53 mins
The Wedding Planner,Danielle Steel,Length: 8 hrs and 22 mins
The Monk Who Sold His Ferrari (Hindi),Robin Sharma,Length: 9 hrs and 2 mins
Good Strategy/Bad Strategy,Richard Rumelt,Length: 11 hrs and 49 mins
Unleashing the Mind,Sadhguru,Length: 4 hrs and 35 mins
If Tomorrow Comes,Sidney Sheldon,Length: 12 hrs and 36 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 54 mins
Rich Dad's Cashflow Quadrant,Robert T. Kiyosaki,Length: 8 hrs and 48 mins
Solve for Happy,Mo Gawdat,Length: 11 hrs and 12 mins
All Marketers Are Liars,Seth Godin,Length: 4 hrs and 17 mins
Into Thin Air,Jon Krakauer,Length: 9 hrs and 8 mins
One Night at the Call Centre,Chetan Bhagat,Length: 7 hrs and 33 mins
To Sell Is Human,Daniel H. Pink,Length: 6 hrs and 6 mins
The Prodigal Daughter,Jeffrey Archer,Length: 14 hrs and 35 mins
The Three Laws of Performance,"Steve Zaffron,Dave Logan",Length: 6 hrs and 12 mins
The Buddha Said,Osho,Length: 35 hrs and 57 mins
The Miracle of Mindfulness,Thích Nhất Hạnh,Length: 4 hrs and 11 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Quantum Supremacy,Michio Kaku,Length: 10 hrs and 41 mins
A History of India,"Michael H. Fisher,The Great Courses",Length: 18 hrs and 22 mins
"James Moriarty, Consulting Criminal",Andy Weir,Length: 1 hr and 10 mins
Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
The Making of a Manager,Julie Zhuo,Length: 7 hrs and 32 mins
My Lovely Wife,Samantha Downing,Length: 10 hrs and 13 mins
Justice Jaganathan (Tamil Edition),Devan,Length: 13 hrs and 44 mins
Worth Dying For,Lee Child,Length: 13 hrs and 1 min
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,Length: 8 hrs and 37 mins
Memory Man,David Baldacci,Length: 13 hrs and 16 mins
The Gray Man,Mark Greaney,Length: 11 hrs and 11 mins
"How I Made $2,000,000 in the Stock Market",Nicolas Darvas,Length: 3 hrs and 29 mins
Am I Being Too Subtle?,Sam Zell,Length: 8 hrs and 57 mins
Life's Amazing Secrets,Gaur Gopal Das,Length: 6 hrs and 25 mins
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,Length: 11 hrs and 21 mins
The Universe Has Your Back,Gabrielle Bernstein,Length: 4 hrs and 30 mins
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,Length: 8 hrs and 57 mins
The Lost River,Michel Danino,Length: 10 hrs and 8 mins
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
The Fix,David Baldacci,Length: 11 hrs and 53 mins
The Tibetan Book of Living and Dying,Sogyal Rinpoche,Length: 6 hrs and 7 mins
"Mightier than the Sword: Clifton Chronicles, Book 5",Jeffrey Archer,Length: 12 hrs and 55 mins
The Audacity of Hope,Barack Obama,Length: 6 hrs and 10 mins
"I Know What to Do, So Why Don't I Do It?",Nick Hall,Length: 10 hrs and 5 mins
Charlie and the Great Glass Elevator,Roald Dahl,Length: 3 hrs and 15 mins
Bose: The Untold Story (Part 1),Chandrachur Ghose,Length: 16 hrs and 25 mins
Storm Front,Jim Butcher,Length: 8 hrs and 1 min
The Body,Bill Bryson,Length: 14 hrs and 47 mins
Siddhartha,Hermann Hesse,Length: 4 hrs and 32 mins
On Earth We're Briefly Gorgeous,Ocean Vuong,Length: 7 hrs and 19 mins
Terry Pratchett: BBC Radio Drama Collection,Terry Pratchett,Length: 13 hrs and 13 mins
Leadership Wisdom from the Monk Who Sold His Ferrari,Robin Sharma,Length: 7 hrs and 31 mins
Kissinger,Walter Isaacson,Length: 34 hrs and 30 mins
The Big Short,Michael Lewis,Length: 9 hrs and 27 mins
Gone Tomorrow,Lee Child,Length: 13 hrs and 17 mins
Homo Deus,Yuval Noah Harari,Length: 20 hrs and 54 mins
Richest Man In Babylon - Original Edition,George S. Clason,Length: 4 hrs
The Stranger: International Edition,Albert Camus,Length: 4 hrs and 14 mins
The Man Who Solved the Market,Gregory Zuckerman,Length: 10 hrs and 44 mins
The Power of Intention,Dr. Wayne W. Dyer,Length: 4 hrs and 27 mins
The High Performance Entrepreneur,Subroto Bagchi,Length: 6 hrs and 35 mins
A Necessary Evil,Abir Mukherjee,Length: 11 hrs and 12 mins
It's Not Luck,Eliyahu M. Goldratt,Length: 8 hrs and 30 mins
Atal Bihari Vajpayee,Kingshuk Nag,Length: 6 hrs and 58 mins
From Chaos to Consciousness,Eckhart Tolle,Length: 7 hrs and 28 mins
The Revenge of Geography,Robert D. Kaplan,Length: 13 hrs and 24 mins
What to Expect When You’re Expecting,Heidi Murkoff,Length: 32 hrs and 43 mins
The 16 Undeniable Laws of Communication,John Maxwell,Length: 8 hrs and 57 mins
Ek Chota Sa Kadam Aapki Zindagi Badal Sakta Hai [One Small Step Can Change Your Life],Robert Maurer,Length: 5 hrs and 10 mins
Freakonomics,"Steven D. Levitt,Stephen J. Dubner",Length: 7 hrs and 50 mins
One of Us Is Lying,Karen M. McManus,Length: 10 hrs and 43 mins
My Brilliant Friend,Elena Ferrante,Length: 12 hrs and 38 mins
The Partner,John Grisham,Length: 6 hrs and 4 mins
"The Great Ideas of Philosophy, 2nd Edition","Daniel N. Robinson,The Great Courses",Length: 30 hrs and 11 mins
Man's Search for Meaning,Viktor E. Frankl,Length: 4 hrs and 44 mins
The Book of Disquiet,Fernando Pessoa,Length: 17 hrs and 28 mins
Dharma,Amish Tripathi,Length: 4 hrs and 26 mins
How to Make Money in Stocks (Fourth Edition),William J. O'Neil,Length: 11 hrs and 50 mins
The Alchemist (Tamil Edition),"Paulo Coelho,Nagalakshmi Shanmugam - translator",Length: 6 hrs and 20 mins
"Best Kept Secret: Clifton Chronicles, Book 3",Jeffrey Archer,Length: 11 hrs and 15 mins
Smarter Faster Better,Charles Duhigg,Length: 10 hrs and 22 mins
The Temporary Wife: Luca and Valentina's Story,Catharina Maura,Length: 11 hrs and 33 mins
How Democracies Die,"Steven Levitsky,Daniel Ziblatt",Length: 8 hrs and 24 mins
A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins
The Diary of a Young Girl [Hindi],Anne Frank,Length: 11 hrs and 41 mins
How to Win an Indian Election,Shivam Shankar Singh,Length: 6 hrs and 45 mins
The Secret of Leadership,Prakash Iyer,Length: 5 hrs and 33 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
The Art of Living,Thích Nhất Hạnh,Length: 5 hrs and 1 min
Wuthering Heights,Emily Brontë,Length: 13 hrs and 8 mins
India's Wars,Arjun Subramaniam,Length: 19 hrs and 32 mins
The Book of Wisdom,Osho,Length: 47 hrs and 6 mins
How Big Things Get Done,"Professor Bent Flyvbjerg,Dan Gardner",Length: 7 hrs and 16 mins
The Gulag Archipelago,Aleksandr Solzhenitsyn,Length: 23 hrs and 28 mins
How Brands Grow,Byron Sharp,Length: 6 hrs and 34 mins
Pachinko,Min Jin Lee,Length: 18 hrs and 14 mins
Collided,Lauren Asher,Length: 11 hrs and 19 mins
The Power of Vulnerability,Brené Brown,Length: 6 hrs and 30 mins
Chanakya and the Art of Getting Rich,Radhakrishnan Pillai,Length: 4 hrs and 41 mins
Be Your Future Self Now,Dr. Benjamin Hardy,Length: 4 hrs and 51 mins
Siva,Ramesh Menon,Length: 14 hrs and 4 mins
The 10X Mentor,Grant Cardone,Length: 11 hrs and 37 mins
Do Epic Shit,Ankur Warikoo,Length: 3 hrs and 17 mins
"7 Mindsets for Success, Happiness and Fulfilment",Swami Mukundananda,Length: 6 hrs and 19 mins
Chanakya Neeti,Acharya Chanakya,Length: 5 hrs and 2 mins
Teachings of Vivekananda,Vivekananda,Length: 9 hrs and 4 mins
The Bhagavad Gita,Eknath Easwaran,Length: 8 hrs and 54 mins
Life Without Limits,Nick Vujicic,Length: 7 hrs and 50 mins
The Art of Storytelling: From Parents to Professionals,"Hannah B. Harvey,The Great Courses",Length: 12 hrs and 30 mins
"Zen Mind, Beginner's Mind",Shunryu Suzuki,Length: 2 hrs and 58 mins
Talent Is Overrated,Geoff Colvin,Length: 8 hrs and 14 mins
The Art of Learning,Josh Waitzkin,Length: 7 hrs and 55 mins
Night Train at Deoli (Hindi Edition),Ruskin Bond,Length: 6 hrs and 43 mins
Time Management (Hindi Edition),Sudhir Dixit,Length: 2 hrs and 34 mins
The Unusual Billionaires,Saurabh Mukherjea,Length: 9 hrs and 12 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
A Political History of the World,Jonathan Holslag,Length: 15 hrs and 5 mins
In the Lives of Puppets,TJ Klune,Length: 15 hrs and 21 mins
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,Length: 11 hrs and 11 mins
A Course in Meditation,Osho,Length: 4 hrs and 58 mins
Upgrade,Blake Crouch,Length: 9 hrs and 47 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins
Misbehaving,Richard H. Thaler,Length: 13 hrs and 35 mins
Power and Prediction,"Ajay Agrawal,Joshua Gans,Avi Goldfarb",Length: 10 hrs and 7 mins
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"Mike Chapple,James Michael Stewart,Darril Gibson",Length: 65 hrs and 38 mins
The Enemy,Lee Child,Length: 14 hrs and 21 mins
The Zenith of Sacrifice,"Kalki Krishnamurthy,Pavithra Srinivasan - translator,Varsha Venugopal - translator",Length: 28 hrs and 9 mins
North and South,Elizabeth Gaskell,Length: 18 hrs and 20 mins
Bose: The Untold Story (Part 2),Chandrachur Ghose,Length: 11 hrs and 27 mins
How to Have Confidence and Power in Dealing with People,Les Giblin,Length: 4 hrs and 39 mins
Unscripted,MJ DeMarco,Length: 17 hrs and 33 mins
Don’t Worry,Shunmyo Masuno,Length: 3 hrs and 25 mins
Waking Up,Sam Harris,Length: 5 hrs and 51 mins
The Gita for Children,Roopa Pai,Length: 7 hrs and 50 mins
Fantastic Mr Fox,Roald Dahl,Length: 1 hr and 15 mins
Never Split the Difference,"Chris Voss,Tahl Raz",Length: 8 hrs and 7 mins
Fifty Shades Freed,E. L. James,Length: 20 hrs and 59 mins
The Kiss Quotient,Helen Hoang,Length: 9 hrs and 36 mins
Mulanchi Budhimatta Viksit Karnyachya 21 Padhati [21 Ways to Develop Children's Intelligence],Manoj Ambike,Length: 4 hrs and 49 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The 5 AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Bigger Leaner Stronger,Michael Matthews,Length: 14 hrs and 16 mins
(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide (3rd Edition),"Mike Chapple,David Seidl",Length: 19 hrs and 40 mins
Bridgerton: An Offer from a Gentleman,Julia Quinn,Length: 12 hrs and 22 mins
Secrets of Closing the Sale,Zig Ziglar,Length: 15 hrs and 14 mins
Building a Better Vocabulary,"Kevin Flanigan,The Great Courses",Length: 18 hrs and 48 mins
The Book of Ichigo Ichie,"Francesc Miralles,Héctor García",Length: 3 hrs and 20 mins
Company of One,Paul Jarvis,Length: 8 hrs and 17 mins
Financial Freedom,"Grant Sabatier,Vicki Robin - foreword",Length: 10 hrs and 47 mins
Quidditch Through the Ages,"J.K. Rowling,Kennilworthy Whisp",Length: 3 hrs and 10 mins
The Almanack of Naval Ravikant,"Eric Jorgenson,Tim Ferriss",Length: 4 hrs and 53 mins
Ignited Minds,A. P. J. Kalam,Length: 3 hrs and 45 mins
Power vs. Force,Dr. David R. Hawkins,Length: 8 hrs and 10 mins
An Era of Darkness,Shashi Tharoor,Length: 12 hrs and 26 mins
Executive Presence,Sylvia Ann Hewlett,Length: 6 hrs and 17 mins
The Bhagavad Gita for Daily Living,Eknath Easwaran,Length: 50 hrs and 19 mins
Fifty Shades Freed,E. L. James,Length: 20 hrs and 59 mins
The Kiss Quotient,Helen Hoang,Length: 9 hrs and 36 mins
Mulanchi Budhimatta Viksit Karnyachya 21 Padhati [21 Ways to Develop Children's Intelligence],Manoj Ambike,Length: 4 hrs and 49 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The 5 AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Bigger Leaner Stronger,Michael Matthews,Length: 14 hrs and 16 mins
(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide (3rd Edition),"Mike Chapple,David Seidl",Length: 19 hrs and 40 mins
Bridgerton: An Offer from a Gentleman,Julia Quinn,Length: 12 hrs and 22 mins
Secrets of Closing the Sale,Zig Ziglar,Length: 15 hrs and 14 mins
Building a Better Vocabulary,"Kevin Flanigan,The Great Courses",Length: 18 hrs and 48 mins
The Book of Ichigo Ichie,"Francesc Miralles,Héctor García",Length: 3 hrs and 20 mins
Company of One,Paul Jarvis,Length: 8 hrs and 17 mins
Financial Freedom,"Grant Sabatier,Vicki Robin - foreword",Length: 10 hrs and 47 mins
Quidditch Through the Ages,"J.K. Rowling,Kennilworthy Whisp",Length: 3 hrs and 10 mins
The Almanack of Naval Ravikant,"Eric Jorgenson,Tim Ferriss",Length: 4 hrs and 53 mins
Ignited Minds,A. P. J. Kalam,Length: 3 hrs and 45 mins
Power vs. Force,Dr. David R. Hawkins,Length: 8 hrs and 10 mins
An Era of Darkness,Shashi Tharoor,Length: 12 hrs and 26 mins
Executive Presence,Sylvia Ann Hewlett,Length: 6 hrs and 17 mins
The Bhagavad Gita for Daily Living,Eknath Easwaran,Length: 50 hrs and 19 mins
